country,iso3,year,score,status,confidence
Albania,ALB,2015,71.23,A,PU
Albania,ALB,2016,70.08,A,PU
Albania,ALB,2017,70.08,A,PU
Albania,ALB,2018,70.51,A,PU
Albania,ALB,2019,70.16,A,PU
Albania,ALB,2020,69.75,A,PU
Albania,ALB,2021,69.41,A,PU
Albania,ALB,2022,56.41,A,PU
Albania,ALB,2023,57.86,A,PU
Albania,ALB,2024,54.1,A,PU
Albania,ALB,2025,58.18,A,PU
Andorra,AND,2015,80.13,A,PU
Andorra,AND,2016,80.13,A,PU
Andorra,AND,2017,78.97,A,PU
Andorra,AND,2018,77.79,A,PU
Andorra,AND,2019,75.37,A,PU
Andorra,AND,2020,76.77,A,PU
Andorra,AND,2021,76.68,A,PU
Andorra,AND,2022,68.79,A,PU
Andorra,AND,2023,75.05,A,PU
Andorra,AND,2024,61.44,A,PU
Andorra,AND,2025,63.3,A,PU
Armenia,ARM,2015,71.57,A,PU
Armenia,ARM,2016,71.21,A,PU
Armenia,ARM,2017,69.62,A,PU
Armenia,ARM,2018,70.01,A,PU
Armenia,ARM,2019,71.02,A,PU
Armenia,ARM,2020,71.4,A,PU
Armenia,ARM,2021,71.17,A,PU
Armenia,ARM,2022,68.97,A,PU
Armenia,ARM,2023,70.61,A,PU
Armenia,ARM,2024,71.6,A,PU
Armenia,ARM,2025,73.96,A,PU
Austria,AUT,2015,89.15,A,PU
Austria,AUT,2016,86.82,A,PU
Austria,AUT,2017,86.53,A,PU
Austria,AUT,2018,85.96,A,PU
Austria,AUT,2019,84.67,A,PU
Austria,AUT,2020,84.22,A,PU
Austria,AUT,2021,83.66,A,PU
Austria,AUT,2022,76.74,A,PU
Austria,AUT,2023,77.3,A,PU
Austria,AUT,2024,74.69,A,PU
Austria,AUT,2025,78.12,A,PU
Azerbaijan,AZE,2015,41.59,A,PU
Azerbaijan,AZE,2016,42.11,A,PU
Azerbaijan,AZE,2017,43.6,A,PU
Azerbaijan,AZE,2018,40.27,A,PU
Azerbaijan,AZE,2019,40.87,A,PU
Azerbaijan,AZE,2020,41.52,A,PU
Azerbaijan,AZE,2021,41.23,A,PU
Azerbaijan,AZE,2022,39.4,A,PU
Azerbaijan,AZE,2023,39.93,A,PU
Azerbaijan,AZE,2024,27.99,A,PU
Azerbaijan,AZE,2025,25.47,A,PU
Belarus,BLR,2015,52.02,A,PU
Belarus,BLR,2016,45.68,A,PU
Belarus,BLR,2017,47.57,A,PU
Belarus,BLR,2018,47.41,A,PU
Belarus,BLR,2019,48.34,A,PU
Belarus,BLR,2020,50.25,A,PU
Belarus,BLR,2021,49.18,A,PU
Belarus,BLR,2022,39.62,A,PU
Belarus,BLR,2023,37.17,A,PU
Belarus,BLR,2024,26.8,A,PU
Belarus,BLR,2025,25.73,A,PU
Belgium,BEL,2015,88.02,A,PU
Belgium,BEL,2016,85.82,A,PU
Belgium,BEL,2017,87.25,A,PU
Belgium,BEL,2018,86.84,A,PU
Belgium,BEL,2019,87.93,A,PU
Belgium,BEL,2020,87.43,A,PU
Belgium,BEL,2021,88.31,A,PU
Belgium,BEL,2022,78.86,A,PU
Belgium,BEL,2023,76.47,A,PU
Belgium,BEL,2024,81.49,A,PU
Belgium,BEL,2025,80.12,A,PU
Bosnia and Herzegovina,BIH,2015,72.49,A,PU
Bosnia and Herzegovina,BIH,2016,71.55,A,PU
Bosnia and Herzegovina,BIH,2017,72.17,A,PU
Bosnia and Herzegovina,BIH,2018,72.63,A,PU
Bosnia and Herzegovina,BIH,2019,70.98,A,PU
Bosnia and Herzegovina,BIH,2020,71.49,A,PU
Bosnia and Herzegovina,BIH,2021,71.66,A,PU
Bosnia and Herzegovina,BIH,2022,65.64,A,PU
Bosnia and Herzegovina,BIH,2023,65.43,A,PU
Bosnia and Herzegovina,BIH,2024,58.85,A,PU
Bosnia and Herzegovina,BIH,2025,56.33,A,PU
Bulgaria,BGR,2015,67.09,A,PU
Bulgaria,BGR,2016,65.54,A,PU
Bulgaria,BGR,2017,64.99,A,PU
Bulgaria,BGR,2018,64.78,A,PU
Bulgaria,BGR,2019,64.89,A,PU
Bulgaria,BGR,2020,64.94,A,PU
Bulgaria,BGR,2021,62.71,A,PU
Bulgaria,BGR,2022,59.12,A,PU
Bulgaria,BGR,2023,62.98,A,PU
Bulgaria,BGR,2024,65.32,A,PU
Bulgaria,BGR,2025,60.78,A,PU
Croatia,HRV,2015,73.88,A,PU
Croatia,HRV,2016,72.09,A,PU
Croatia,HRV,2017,70.41,A,PU
Croatia,HRV,2018,71.06,A,PU
Croatia,HRV,2019,70.97,A,PU
Croatia,HRV,2020,71.49,A,PU
Croatia,HRV,2021,72.05,A,PU
Croatia,HRV,2022,70.42,A,PU
Croatia,HRV,2023,71.95,A,PU
Croatia,HRV,2024,68.79,A,PU
Croatia,HRV,2025,64.2,A,PU
Cyprus,CYP,2015,83.48,A,PU
Cyprus,CYP,2016,81.74,A,PU
Cyprus,CYP,2017,80.21,A,PU
Cyprus,CYP,2018,80.15,A,PU
Cyprus,CYP,2019,78.26,A,PU
Cyprus,CYP,2020,79.55,A,PU
Cyprus,CYP,2021,80.15,A,PU
Cyprus,CYP,2022,65.97,A,PU
